ALLOC,SGSM::smallobj,0xa1b3f0,32784,RAM,346,3049600
ALLOC,SGSM::smallobj,0xa23470,336,RAM,347,3049936
ALLOC,SGSM::smallobj,0xa235f0,336,RAM,347,3050272
ALLOC,SGSM::smallobj,0xa23770,3088,RAM,347,3053360
ALLOC,SGSM::smallobj,0xa243f0,784,RAM,348,3054144
ALLOC,SGSM::smallobj,0xa24770,3088,RAM,348,3057232
ALLOC,SGSM::smallobj,0xa253f0,784,RAM,348,3058016
ALLOC,SGSM::smallobj,0xa25770,3088,RAM,349,3061104
ALLOC,data\eaglrm.big,0xa263f0,137680,RAM,350,3198784
ALLOC,SGSM::smallobj,0xa47df0,2128,RAM,360,3200912
ALLOC,SGSM::smallobj,0xa48670,656,RAM,360,3201568
ALLOC,SGSM::smallobj,0xa48970,336,RAM,360,3201904
ALLOC,DB::Database smallobjectpool,0x1fa23b0,448,RAM,361,3202352
ALLOC,DB::smallobj,0xa48af0,4240,RAM,361,3206592
ALLOC,DB::NIKAD smallobjectpool,0x1fa2270,320,RAM,361,3206912
ALLOC,DB::NIKAD item raw,0x1fa0af0,6016,RAM,362,3212928
ALLOC,System::AsynchLoader::File Request Pool,0xa49bf0,2832,RAM,362,3215760
ALLOC,System::AsynchLoader::Request list links,0xa4a770,848,RAM,362,3216608
ALLOC,SGSM::smallobj,0xa4aaf0,1040,RAM,495,3217648
FREE, ,0xa4aaf0,1040,RAM,510,3216608
ALLOC,Animation::data/cmn/be/moai.viv,0x1b3da30,4600000,RAM,513,7816608
ALLOC,Animation::data/cmn/be/moai.viv,0xa4aab0,4600016,RAM,797,12416624
FREE, ,0x1b3da30,4600000,RAM,800,7816624
ALLOC,Animation::data/cmn/be/eaglanim.big,0x1f90fb0,64320,RAM,802,7880944
ALLOC,Animation::data/cmn/be/eaglanim.big,0xeadb70,64336,RAM,806,7945280
FREE, ,0x1f90fb0,64320,RAM,806,7880960
ALLOC,Animation::MOEaglAnim,0xebd6b0,144,RAM,807,7881104
ALLOC,SGSM::smallobj,0xebd770,2128,RAM,807,7883232
ALLOC,SGSM::smallobj,0xebdff0,464,RAM,808,7883696
ALLOC,SGSM::smallobj,0xebe1f0,2128,RAM,808,7885824
ALLOC,AI::aicpu.big,0xebea70,3600,RAM,808,7889424
